Membership No  Date Joined  Active  
    67047      2020-9-13    yes   
    14406      2017-2-8     yes   
    22108      2017-3-1     yes   
    89611      2018-5-19    yes   
    52855      2017-5-18    yes   
    73819      2016-3-19    yes   
    55239      2016-2-22    yes   
    72432      2015-2-25    yes   
    20140      2016-8-21    yes   
    79962      2017-11-21   yes   
    33556      2016-3-13    yes   
    23714      2018-5-1     yes   
    26926      2017-10-12   yes   
    58356      2016-12-21   yes   
    82936      2016-7-4     yes   
