Membership No  Date Joined  Active  
    75260      2019-10-20   yes   
    74345      2017-5-16    yes   
    71116      2018-12-17   yes   
    82770      2015-12-17   yes   
    36636      2017-9-20    yes   
    23507      2020-11-15   yes   
    79890      2017-5-12    yes   
    75102      2019-3-7     yes   
    24961      2016-1-19    yes   
    17606      2017-11-6    yes   
    63510      2016-8-24    yes   
    57695      2018-5-4     yes   
    37817      2019-1-22    yes   
    76028      2019-1-8     yes   
    96483      2016-5-17    yes   
